CRIME_TYPE,arrest,TOTAL_ARREST_COUNT
THEFT,false,1390054
BATTERY,false,1064333
CRIMINAL DAMAGE,false,792818
NARCOTICS,true,735811
BURGLARY,false,390781
OTHER OFFENSE,false,381897
ASSAULT,false,374901
MOTOR VEHICLE THEFT,false,314781
BATTERY,true,305011
DECEPTIVE PRACTICE,false,275810
ROBBERY,false,253937
THEFT,true,180835
CRIMINAL TRESPASS,true,148597
ASSAULT,true,105096
OTHER OFFENSE,true,82135
WEAPONS VIOLATION,true,71886
PROSTITUTION,true,69198
CRIMINAL TRESPASS,false,59993
CRIMINAL DAMAGE,true,58398
DECEPTIVE PRACTICE,true,45809
OFFENSE INVOLVING CHILDREN,false,42018
MOTOR VEHICLE THEFT,true,30118
ROBBERY,true,26631
BURGLARY,true,23734
WEAPONS VIOLATION,false,23125
OFFENSE INVOLVING CHILDREN,true,10684
NARCOTICS,false,4306
PROSTITUTION,false,269
