year,CRIME_TYPE,TOTAL_CRIME_COUNT
2001,DECEPTIVE PRACTICE,14925
2001,SEX OFFENSE,2234
2001,ASSAULT,31384
2001,ROBBERY,18441
2001,GAMBLING,934
2001,CRIMINAL DAMAGE,55856
2001,INTERFERENCE WITH PUBLIC OFFICER,406
2001,CRIMINAL TRESPASS,13241
2001,BATTERY,93452
2001,OFFENSE INVOLVING CHILDREN,2254
2001,PROSTITUTION,6026
2001,PUBLIC PEACE VIOLATION,2750
2001,NARCOTICS,50567
2001,OTHER OFFENSE,29660
2001,WEAPONS VIOLATION,4276
2001,BURGLARY,26013
2001,CRIM SEXUAL ASSAULT,1781
2001,THEFT,99270
2001,MOTOR VEHICLE THEFT,27550
2001,LIQUOR LAW VIOLATION,1637
2002,ASSAULT,31521
2002,DECEPTIVE PRACTICE,13725
2002,GAMBLING,971
2002,INTERFERENCE WITH PUBLIC OFFICER,361
2002,PUBLIC PEACE VIOLATION,2457
2002,SEX OFFENSE,2171
2002,BATTERY,94150
2002,BURGLARY,25623
2002,NARCOTICS,51789
2002,OTHER OFFENSE,32599
2002,CRIM SEXUAL ASSAULT,1813
2002,LIQUOR LAW VIOLATION,1414
2002,WEAPONS VIOLATION,4281
2002,OFFENSE INVOLVING CHILDREN,2586
2002,THEFT,98328
2002,CRIMINAL TRESPASS,13880
2002,ROBBERY,18522
2002,CRIMINAL DAMAGE,55941
2002,PROSTITUTION,6408
2002,MOTOR VEHICLE THEFT,25121
2003,MOTOR VEHICLE THEFT,22748
2003,OFFENSE INVOLVING CHILDREN,3043
2003,GAMBLING,1088
2003,WEAPONS VIOLATION,4211
2003,PROSTITUTION,6214
2003,DECEPTIVE PRACTICE,13459
2003,SEX OFFENSE,2076
2003,INTERFERENCE WITH PUBLIC OFFICER,408
2003,CRIM SEXUAL ASSAULT,1579
2003,PUBLIC PEACE VIOLATION,2430
2003,BURGLARY,25156
2003,OTHER OFFENSE,31147
2003,ROBBERY,17332
2003,CRIMINAL DAMAGE,55011
2003,NARCOTICS,54288
2003,ASSAULT,29477
2003,LIQUOR LAW VIOLATION,1311
2003,CRIMINAL TRESPASS,14807
2003,THEFT,98875
2003,BATTERY,88379
2004,OFFENSE INVOLVING CHILDREN,3092
2004,THEFT,95463
2004,DECEPTIVE PRACTICE,13254
2004,MOTOR VEHICLE THEFT,22805
2004,PROSTITUTION,7476
2004,CRIMINAL DAMAGE,53164
2004,GAMBLING,1122
2004,OTHER OFFENSE,29532
2004,LIQUOR LAW VIOLATION,985
2004,BURGLARY,24564
2004,ASSAULT,28850
2004,INTERFERENCE WITH PUBLIC OFFICER,531
2004,PUBLIC PEACE VIOLATION,2495
2004,BATTERY,87136
2004,CRIM SEXUAL ASSAULT,1550
2004,ROBBERY,15978
2004,SEX OFFENSE,1804
2004,CRIMINAL TRESPASS,15913
2004,NARCOTICS,57060
2004,WEAPONS VIOLATION,4298
2005,PROSTITUTION,6124
2005,BURGLARY,25503
2005,THEFT,85684
2005,CRIMINAL DAMAGE,54548
2005,CRIM SEXUAL ASSAULT,1530
2005,ASSAULT,27066
2005,GAMBLING,1078
2005,DECEPTIVE PRACTICE,13585
2005,OTHER OFFENSE,28028
2005,SEX OFFENSE,1813
2005,LIQUOR LAW VIOLATION,1005
2005,BATTERY,83964
2005,PUBLIC PEACE VIOLATION,2730
2005,INTERFERENCE WITH PUBLIC OFFICER,615
2005,CRIMINAL TRESPASS,16655
2005,MOTOR VEHICLE THEFT,22497
2005,OFFENSE INVOLVING CHILDREN,2900
2005,WEAPONS VIOLATION,4106
2005,NARCOTICS,56234
2005,ROBBERY,16047
2006,WEAPONS VIOLATION,3821
2006,CRIMINAL TRESPASS,14505
2006,ASSAULT,25945
2006,PUBLIC PEACE VIOLATION,3068
2006,THEFT,86240
2006,GAMBLING,1368
2006,CRIMINAL DAMAGE,57124
2006,ROBBERY,15968
2006,BURGLARY,24324
2006,LIQUOR LAW VIOLATION,1135
2006,OFFENSE INVOLVING CHILDREN,2771
2006,OTHER OFFENSE,27101
2006,PROSTITUTION,7034
2006,MOTOR VEHICLE THEFT,21818
2006,BATTERY,80666
2006,SEX OFFENSE,1573
2006,CRIM SEXUAL ASSAULT,1443
2006,DECEPTIVE PRACTICE,13601
2006,INTERFERENCE WITH PUBLIC OFFICER,758
2006,NARCOTICS,55813
2007,CRIMINAL TRESPASS,13699
2007,ASSAULT,26313
2007,GAMBLING,1409
2007,CRIMINAL DAMAGE,53749
2007,BURGLARY,24858
2007,LIQUOR LAW VIOLATION,1170
2007,OTHER OFFENSE,26863
2007,WEAPONS VIOLATION,3554
2007,NARCOTICS,54454
2007,BATTERY,79593
2007,INTERFERENCE WITH PUBLIC OFFICER,677
2007,PUBLIC PEACE VIOLATION,3315
2007,PROSTITUTION,6087
2007,OFFENSE INVOLVING CHILDREN,2911
2007,THEFT,85156
2007,MOTOR VEHICLE THEFT,18573
2007,ROBBERY,15450
2007,SEX OFFENSE,1528
2007,DECEPTIVE PRACTICE,14166
2007,CRIM SEXUAL ASSAULT,1513
2008,CRIMINAL TRESPASS,12310
2008,GAMBLING,1199
2008,PROSTITUTION,5141
