year,location_description,total
2001,ALLEY,10811
2001,COMMERCIAL / BUSINESS OFFICE,5589
2001,DEPARTMENT STORE,6500
2001,SMALL RETAIL STORE,7609
2001,RESIDENTIAL YARD (FRONT/BACK),4
2001,GAS STATION,4540
2001,RESIDENCE-GARAGE,10258
2001,RESIDENCE PORCH/HALLWAY,9008
2001,CHA PARKING LOT/GROUNDS,8691
2001,OTHER,21334
2001,"SCHOOL, PUBLIC, BUILDING",10377
2001,PARK PROPERTY,3727
2001,PARKING LOT/GARAGE(NON.RESID.),16114
2001,RESIDENCE,94202
2001,STREET,150457
2001,RESTAURANT,6898
2001,SIDEWALK,29279
2001,GROCERY FOOD STORE,8600
2001,VEHICLE NON-COMMERCIAL,3871
2001,APARTMENT,28423
2002,"SCHOOL, PUBLIC, BUILDING",10934
2002,COMMERCIAL / BUSINESS OFFICE,4681
2002,SIDEWALK,34762
2002,STREET,147956
2002,GAS STATION,4695
2002,APARTMENT,35794
2002,PARK PROPERTY,3833
2002,RESIDENCE,90460
2002,RESIDENCE-GARAGE,9910
2002,ALLEY,10914
2002,PARKING LOT/GARAGE(NON.RESID.),14795
2002,CHA PARKING LOT/GROUNDS,7755
2002,GROCERY FOOD STORE,7909
2002,DEPARTMENT STORE,5582
2002,RESIDENCE PORCH/HALLWAY,9029
2002,SMALL RETAIL STORE,7728
2002,OTHER,20361
2002,RESTAURANT,6645
2002,RESIDENTIAL YARD (FRONT/BACK),325
2002,VEHICLE NON-COMMERCIAL,5573
2003,GAS STATION,4893
2003,"SCHOOL, PUBLIC, BUILDING",11789
2003,DEPARTMENT STORE,5180
2003,COMMERCIAL / BUSINESS OFFICE,4308
2003,RESIDENTIAL YARD (FRONT/BACK),1282
2003,RESIDENCE,81547
2003,SMALL RETAIL STORE,7752
2003,RESIDENCE PORCH/HALLWAY,8573
2003,APARTMENT,39651
2003,SIDEWALK,37648
2003,RESTAURANT,6737
2003,CHA PARKING LOT/GROUNDS,6653
2003,VEHICLE NON-COMMERCIAL,5631
2003,RESIDENCE-GARAGE,10044
2003,STREET,145649
2003,GROCERY FOOD STORE,7272
2003,PARKING LOT/GARAGE(NON.RESID.),14171
2003,PARK PROPERTY,3401
2003,ALLEY,10898
